season,week,team,pa
2024,14,PIT,14
2024,14,DET,31
2024,14,TEN,10
2024,14,KC,17
2024,14,TB,13
2024,14,NYG,14
2024,14,MIA,26
2024,14,ARI,30
2024,15,LV,15
2024,15,NYG,35
2024,15,DET,48
2024,15,MIN,12
2024,15,TEN,37
2024,15,CAR,30
2024,15,SEA,30
2024,15,DEN,13
2024,15,CLE,21
2024,15,SF,12
2024,15,HOU,12
2024,15,ARI,17
2024,15,JAX,32
2024,15,PHI,13
2024,15,LAC,40
2024,15,NO,20
2024,16,CAR,30
2024,16,CIN,6
2024,16,LAC,27
2024,16,CHI,34
2024,16,KC,19
2024,16,LV,14
2024,16,NYJ,19
2024,16,SEA,27
2024,16,BUF,21
2024,16,GB,0
2024,16,ATL,7
2024,16,WAS,33
2024,16,BAL,17
2024,16,MIA,17
2024,16,DAL,24
2024,16,IND,30
2024,17,LA,9
2024,17,WAS,24
2024,17,HOU,31
2024,17,TB,14
2024,17,PHI,7
2024,17,CIN,24
2024,17,SF,40
2024,17,MIN,25
2024,17,NYG,33
2024,17,PIT,29
2024,17,NE,40
2024,17,NO,25
2024,17,CLE,20
2024,17,BUF,14
2024,17,CHI,6
2024,17,JAX,13
2024,18,NE,16
2024,18,ATL,44
2024,18,GB,24
2024,18,PIT,19
2024,18,BAL,10
2024,18,TEN,23
2024,18,IND,23
2024,18,DEN,0
2024,18,LV,34
2024,18,NYJ,20
2024,18,DET,9
2024,18,TB,19
2024,18,PHI,13
2024,18,LA,30
2024,18,ARI,24
2024,18,DAL,23
2024,1,ARI,34
2024,1,BAL,27
2024,1,CAR,47
2024,1,DAL,17
2024,1,DEN,26
2024,1,GB,34
2024,1,HOU,27
2024,1,JAX,20
2024,1,LA,26
2024,1,LV,22
2024,1,MIN,6
2024,1,NE,10
2024,1,NYJ,32
2024,1,PIT,10
2024,1,TEN,24
2024,1,WAS,37
2024,2,ATL,21
2024,2,BUF,10
2024,2,CHI,19
2024,2,CIN,26
2024,2,CLE,13
2024,2,IND,16
2024,2,LAC,3
2024,2,LA,41
2024,2,LV,23
2024,2,NO,19
2024,2,NYG,21
2024,2,NYJ,17
2024,2,PIT,6
2024,2,SEA,20
2024,2,SF,23
2024,2,TB,16
2024,3,BAL,25
2024,3,CAR,22
2024,3,CHI,21
2024,3,DEN,7
2024,3,DET,13
2024,3,GB,14
2024,3,HOU,34
2024,3,JAX,47
2024,3,KC,17
2024,3,LAC,20
2024,3,MIA,24
2024,3,NE,24
2024,3,NYG,15
2024,3,PHI,12
2024,3,SF,27
2024,3,WAS,33
2024,4,BUF,35
2024,4,CIN,24
2024,4,CLE,20
2024,4,DAL,15
2024,4,DEN,9
2024,4,JAX,24
2024,4,KC,10
2024,4,LA,24
2024,4,MIN,29
2024,4,NE,30
2024,4,NO,26
2024,4,PHI,33
2024,4,PIT,27
2024,4,SEA,42
2024,4,TEN,12
2024,4,WAS,14
2024,5,ARI,23
2024,5,BAL,38
2024,5,BUF,23
2024,5,CAR,36
2024,5,CLE,34
2024,5,DAL,17
