player_id,season,week,pass_td_40,pass_td_50,rec_td_40,rec_td_50,rush_td_40,rush_td_50,pick_six_thrown
00-0030035,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030035,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030035,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030061,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030061,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030061,2021,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0030061,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030068,2021,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0030085,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030108,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030108,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030181,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030181,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030181,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030279,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030279,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030279,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030279,2021,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030279,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030288,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030288,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030431,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030431,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030431,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030431,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030456,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030456,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030456,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030496,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030496,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030496,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030506,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030506,2021,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0030506,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030506,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030506,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030506,2021,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030506,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030506,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030513,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030513,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030513,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030513,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030513,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030513,2021,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0
00-0030520,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00-0030520,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030520,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00-0030525,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030561,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030564,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030564,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030564,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030564,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030564,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030564,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030565,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030565,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030565,2021,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0030565,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030578,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030578,2021,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0030578,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030578,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030578,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030578,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030578,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030874,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030874,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030874,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031045,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031062,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031235,2021,12,0.0,0.0,1.0,1.0,0.0,0.0,0.0
00-0031235,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031235,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031235,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031235,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031236,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031236,2021,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0031236,2021,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0031236,2021,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0031236,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031237,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00-0031237,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031260,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031260,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031260,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031273,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031273,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031273,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031273,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00-0031280,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00-0031280,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031280,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031285,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031285,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031285,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031285,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031285,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031285,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031325,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031345,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031376,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031381,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031381,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031381,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031381,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031381,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031381,2021,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031381,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031381,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031382,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031382,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031382,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031382,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031387,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031387,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031408,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031408,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031408,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031408,2021,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0031408,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0031408,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
