player,pos,team,ecr,sd,bye,age,gsis_id,proj_ppg,exp_games,proj_pts,proj_sd,ratio,ratio_raw,raw_games,market_std_pts,replacement,vorp,vorp_rank
John Metchie III,WR,CAR,335.59,36.37,5.0,26.13552361396304,00-0037614,9.935438721034636,15.4,153.0057563039334,62.983195027221164,1.0735968884211542,1.0517241379310347,36.0,142.51695208333334,195.337311092439,-42.3315547885056,322
Troy Franklin,WR,DEN,218.75,35.54,10.0,23.581108829568787,00-0039868,9.933958326846453,15.4,152.98295823343537,62.98161647296113,1.0734369209915624,1.0501638001638,33.0,142.51695208333334,195.337311092439,-42.354352859003626,323
Olamide Zaccheaus,WR,ATL,315.45,29.8,11.0,29.12251882272416,00-0035208,9.927927828359886,15.4,152.89008855674226,62.97518813409158,1.0727852814824688,1.0505050505050506,40.0,142.51695208333334,195.337311092439,-42.44722253569674,324
Greg Dortch,WR,BUF,357.88,21.04,7.0,28.27378507871321,00-0035500,9.914790525975867,15.4,152.68777410002835,62.9611953915752,1.071365699785299,1.0456720313179644,38.0,142.51695208333334,195.337311092439,-42.649536992410646,325
Jaylin Lane,WR,WAS,354.67,29.07,7.0,24.35044490075291,00-0040164,9.913808140283638,15.4,152.67264536036802,62.9601496571785,1.0712595458194782,1.01953125,13.0,142.51695208333334,195.337311092439,-42.66466573207097,326
Malik Washington,WR,MIA,189.21,35.27,6.0,25.67008898015058,00-0039880,9.907419516498976,15.4,152.57426055408425,62.95335117034769,1.0705692082501888,1.0389048991354466,29.0,142.51695208333334,195.337311092439,-42.76305053835475,327
Malik Willis,QB,MIA,128.78,18.79,6.0,27.28542094455852,00-0038128,16.2732426688703,15.8,257.11723416815073,96.65289735051506,1.1524401429607203,1.2261410788381741,12.0,223.10680145833334,299.89636725074035,-42.779133082589624,328
Chimere Dike,WR,TEN,252.17,32.43,9.0,24.72826830937714,00-0040705,9.902188554682047,15.4,152.49370374210352,62.947787332406996,1.070003964531437,1.0234192037470726,17.0,142.51695208333334,195.337311092439,-42.843607350335475,329
Keaton Mitchell,RB,LAC,152.54,27.63,7.0,24.635181382614647,00-0038454,9.8073303781542,15.6,152.99435389920552,75.4212331444452,1.1158288067582984,1.1230128690386076,21.0,137.11274791666665,196.1036845952354,-43.10933069602987,330
Pat Freiermuth,TE,PIT,233.5,31.87,9.0,27.86584531143053,00-0036894,7.5744815244887835,14.9,112.85977471488287,44.2571337036889,1.0616385348847048,1.0665372886054896,43.0,106.30715729166667,156.53779939513723,-43.67802468025435,331
Cade Otton,TE,TB,239.02,24.66,10.0,27.394934976043807,00-0038129,7.517772719886236,14.9,112.01481352630492,44.19172145407748,1.0599523065344616,1.0550747442958301,45.0,105.67910729166667,156.53779939513723,-44.52298586883231,332
Zach Charbonnet,RB,SEA,156.22,28.12,11.0,25.659137577002053,00-0039165,9.60444913970582,15.6,149.82940657941077,75.24453200435127,1.105193381072277,1.0916947723440136,49.0,135.56849791666667,196.1036845952354,-46.27427801582462,333
Tank Bigsby,RB,PHI,170.74,25.53,10.0,25.018480492813143,00-0038555,9.5761597533394,15.6,149.38809215209463,75.22015400676328,1.1236230064197976,1.1433044315992293,39.0,132.95214791666666,196.1036845952354,-46.715592443140764,334
Alvin Kamara,RB,NO,168.28,34.47,8.0,31.11841204654346,00-0033906,9.568785621961801,15.6,149.2730557026041,75.21380996842576,1.1123033642996667,1.110601001669449,38.0,134.20174791666665,196.1036845952354,-46.830628892631296,335
David Njoku,TE,LAC,254.16,28.98,7.0,30.15742642026009,00-0033885,7.327177943216092,14.9,109.17495135391977,43.9747848601229,1.0600741554584856,1.0556192660550459,38.0,102.98803229166666,156.53779939513723,-47.36284804121746,336
Sam Darnold,QB,SEA,138.31,12.86,11.0,29.253935660506503,00-0034869,15.968083005802885,15.8,252.2957114916856,96.3082166909461,1.1709743239858617,1.2544992589455852,44.0,215.45793645833334,299.89636725074035,-47.600655759054746,337
Carolina Panthers,DST,CAR,294.18,57.09,5.0,,,4.110416666666667,16.0,65.76666666666667,30.0,,,,,113.56666666666666,-47.8,338
