vorp_rank,player,pos,team,ecr,ratio,proj_pts,proj_sd,vorp,replacement,bye,age
178,Ryan Fitzgerald,K,CAR,282.57,,110.0,24.0,-26.666666666666657,136.66666666666666,5.0,26.06433949349761
179,Matthew Golden,WR,GB,124.75,1.0804688880126223,170.1744463708533,64.22646961323977,-26.93653009551616,197.11097646636944,11.0,23.09924709103354
180,Jalen Coker,WR,CAR,124.94,1.0888692797185489,169.54489786639766,64.17899392984731,-27.566078599971803,197.11097646636944,5.0,24.851471594798085
181,Chicago Bears,DST,CHI,268.72,,85.05,30.0,-28.516666666666666,113.56666666666666,10.0,
182,Charlie Smyth,K,NO,284.75,,108.0,24.0,-28.666666666666657,136.66666666666666,8.0,25.196440793976727
183,Atlanta Falcons,DST,ATL,271.34,,84.86666666666666,30.0,-28.700000000000003,113.56666666666666,11.0,53.1088295687885
184,Terrance Ferguson,TE,LAR,205.53,1.0545503327487298,128.64304731970626,45.54949819740766,-29.04873503348585,157.6917823531921,11.0,23.50171115674196
185,New York Giants,DST,NYG,271.9,,83.63333333333334,30.0,-29.933333333333323,113.56666666666666,8.0,52.03285420944559
186,Zane Gonzalez,K,FA,290.18,,105.33333333333331,24.0,-31.33333333333333,136.66666666666666,,31.3347022587269
187,AJ Barner,TE,SEA,211.33,1.060857741906054,126.20762766707304,45.34157040428935,-31.48415468611907,157.6917823531921,11.0,24.34496919917865
188,Washington Commanders,DST,WAS,276.5,,81.61666666666666,30.0,-31.950000000000003,113.56666666666666,7.0,
189,Josh Jacobs,RB,GB,147.99,1.1277787901587952,161.81933735639558,75.93112235997958,-32.36108713677885,194.18042449317443,11.0,28.566735112936342
190,Tyjae Spears,RB,TEN,140.39,1.0852074060753731,161.20077536535993,75.89456582405643,-32.9796491278145,194.18042449317443,9.0,25.22655715263518
191,Greg Dulcich,TE,MIA,215.31,1.0574084170812592,124.59935844409392,45.205927811052845,-33.0924239090982,157.6917823531921,6.0,26.4476386036961
192,Chris Rodriguez Jr.,RB,JAC,141.1,1.1026194851807665,161.0667929298843,75.88666369892198,-33.11363156329014,194.18042449317443,7.0,25.94387405886379
193,Romeo Doubs,WR,NE,126.88,1.0694836515378618,163.9692785923652,63.76471415597598,-33.14169787400425,197.11097646636944,11.0,26.39835728952772
194,Jordyn Tyson,WR,NO,138.63,1.0842971096214584,163.8639150167959,63.75699331584841,-33.24706144957358,197.11097646636944,8.0,22.067077344284737
195,Xavier Worthy,WR,KC,129.83,1.073099523754339,163.54010138090433,63.733290098242406,-33.57087508546513,197.11097646636944,5.0,23.362080766598226
